Movie Title	Critic Rating	Critic Rating Count	User Rating	User Rating Count	Genre
Bad Boys for Life	77%	250	96%	42,938	action
Scoob!	50%	111	61%	1,149	action
Sonic the Hedgehog	64%	223	93%	19,406	action
Dolittle	14%	220	76%	11,521	action
The Rhythm Section	29%	166	44%	1,134	action
The Hunt	56%	221	66%	937	action
Jumanji: The Next Level	71%	233	87%	35,731	action
Bloodshot	30%	152	78%	1,568	action
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)	78%	394	78%	15,707	action
The Plagues of Breslau (Plagi Breslau)	83%	6	51%	39	action
Onward	88%	311	95%	8,597	action
Underwater	48%	200	60%	2,857	action
Robert the Bruce	44%	50	70%	158	action
Black Ops	63%	8	NOT FOUND	NOT FOUND	action
The Captain	75%	8	96%	55	action
The Gentlemen	75%	252	84%	9,629	action
Ip Man 4: The Finale	90%	30	95%	826	action
Clover	29%	17	NOT FOUND	NOT FOUND	action
Mortal Kombat Legends: Scorpion's Revenge	89%	18	85%	249	action
Extraction	68%	188	69%	3,307	action
Villain	73%	22	NOT FOUND	NOT FOUND	action
Justice League Dark: Apokolips War	100%	15	91%	667	action
I Am Vengeance: Retaliation	50%	6	NOT FOUND	NOT FOUND	action
Survive the Night	17%	12	76%	297	action
Coffee & Kareem	20%	66	31%	365	action
The Main Event	28%	18	24%	54	action
Dreamland	47%	30	NOT FOUND	NOT FOUND	action
Blood and Money	40%	20	67%	24	action
Shooting Heroin	44%	9	95%	154	action
Debt Collectors	90%	10	NOT FOUND	NOT FOUND	action
Infamous	23%	22	49%	39	action
Becky	68%	92	69%	196	action
Star Wars: The Rise of Skywalker	51%	485	86%	98,236	action
Frozen II	77%	315	92%	48,800	action
Playmobil: The Movie	17%	60	62%	203	action
Abominable	81%	161	95%	7,928	action
Snatchers	100%	16	62%	117	action
Charlie's Angels	51%	220	78%	2,619	action
Gemini Man	26%	300	83%	8,795	action
Terminator: Dark Fate	70%	326	82%	13,004	action
Spies in Disguise	75%	117	92%	8,316	action
6 Underground	36%	90	60%	3,918	action
The Witch: Subversion (Manyeo)	88%	16	87%	136	action
Maleficent: Mistress of Evil	40%	251	95%	19,127	action
Joker	68%	555	88%	66,291	action
Zombieland: Double Tap	68%	235	88%	11,198	action
Rambo: Last Blood	27%	165	82%	8,119	action
The (Silent) War (Sordo)	56%	9	10%	10	action
The Corrupted	30%	10	36%	11	action
Escape and Evasion	80%	5	NOT FOUND	NOT FOUND	action
First Love (Hatsukoi)	97%	109	88%	33	action
Union	64%	11	NOT FOUND	NOT FOUND	action
Pok�mon the Movie: Mewtwo Strikes Back Evolution	44%	9	42%	116	action
Ne Zha	88%	17	98%	426	action
The Great Alaskan Race	11%	9	NOT FOUND	NOT FOUND	action
Guns Akimbo	55%	62	40%	5	action
VFW	80%	50	63%	110	action
The Climbers	33%	6	80%	45	action
Hell on the Border	40%	5	43%	14	action
Invasion Planet Earth	0%	5	36%	11	action
Toy Story 4	97%	429	94%	53,146	animation
Frozen II	77%	315	92%	48,800	animation
Scoob!	50%	111	61%	1,149	animation
The Secret Life of Pets 2	60%	155	90%	21,933	animation
Wonder Park	34%	104	44%	671	animation
Playmobil: The Movie	17%	60	62%	203	animation
Abominable	81%	161	95%	7,928	animation
UglyDolls	27%	85	55%	1,065	animation
The Willoughbys	90%	60	65%	382	animation
The Lion King	53%	407	88%	76,335	animation
The Angry Birds Movie 2	73%	107	84%	4,023	animation
Rocko's Modern Life: Static Cling	92%	24	68%	285	animation
Liyana	100%	33	74%	93	animation
Dumbo	47%	352	48%	4,382	animation
Trolls World Tour	70%	139	60%	833	animation
Spies in Disguise	75%	117	92%	8,316	animation
Pok�mon Detective Pikachu	68%	296	79%	16,435	animation
A Shaun the Sheep Movie: Farmageddon	96%	72	79%	222	animation
The Addams Family	44%	153	69%	10,314	animation
Missing Link	89%	160	67%	884	animation
Dilili in Paris (Dilili � Paris)	61%	23	NOT FOUND	NOT FOUND	animation
Onward	88%	311	95%	8,597	animation
Batman vs Teenage Mutant Ninja Turtles	100%	12	85%	223	animation
I Lost My Body	96%	75	84%	501	animation
Invader Zim: Enter the Florpus	100%	21	88%	32	animation
Klaus	94%	65	97%	1,937	animation
Pok�mon the Movie: Mewtwo Strikes Back Evolution	44%	9	42%	116	animation
Ne Zha	88%	17	98%	426	animation
To Your Last Death	70%	10	100%	14	animation
Superman: Red Son	88%	16	64%	292	animation
Mortal Kombat Legends: Scorpion's Revenge	89%	18	85%	249	animation
Altered Carbon: Resleeved	60%	5	53%	73	animation
Mind Game	100%	10	93%	3,381	animation
The Grinch	59%	184	50%	12,869	animation
How to Train Your Dragon: The Hidden World	91%	255	86%	56,220	animation
Ferdinand	71%	119	51%	6,944	animation
The LEGO Movie 2: The Second Part	85%	283	68%	28,612	animation
Mowgli: Legend of the Jungle	53%	102	52%	1,830	animation
Incredibles 2	94%	373	84%	18,249	animation
Hotel Transylvania 3: Summer Vacation	62%	116	48%	3,427	animation
Sherlock Gnomes	27%	64	35%	1,615	animation
Peter Rabbit	64%	144	56%	3,383	animation
The Breadwinner	95%	103	86%	1,988	animation
Ralph Breaks the Internet	88%	266	65%	8,548	animation
Isle of Dogs	90%	351	87%	8,975	animation
Early Man	81%	172	49%	2,194	animation
Sgt. Stubby: An American Hero	89%	45	92%	699	animation
Paddington 2	100%	239	88%	8,097	animation
Son of Bigfoot	76%	21	40%	369	animation
Smallfoot	76%	122	62%	2,148	animation
Tehran Taboo	97%	36	81%	216	animation
Lu Over the Wall (Yoake tsugeru R� no uta)	77%	43	67%	131	animation
Mary and The Witch's Flower	89%	88	71%	1,444	animation
The Little Vampire 3D	14%	14	52%	90	animation
Spider-Man: Into the Spider-Verse	97%	375	93%	19,722	animation
Batman Ninja	82%	17	39%	1,105	animation
Teen Titans Go! To the Movies	91%	129	72%	3,492	animation
White Fang (Croc-Blanc)	80%	10	76%	174	animation
A Wizard's Tale (Here Comes the Grump)	20%	5	75%	34	animation
Mirai	91%	80	80%	894	animation
Quartet	44%	16	32%	112	art & foreign
The Return of Martin Guerre (Le Retour de Martin Guerre)	100%	16	80%	2,881	art & foreign
SoulMate	100%	8	78%	139	art & foreign
The Last Photograph	71%	7	57%	10	art & foreign
Liyana	100%	33	74%	93	art & foreign
The Other Side of Everything (Druga strana svega)	90%	10	83%	31	art & foreign
My Son (Mon gar�on)	57%	21	15%	14	art & foreign
The Bastards' Fig Tree (La higuera de los bastardos)	73%	11	NOT FOUND	NOT FOUND	art & foreign
Four Hands (Die Vierh�ndige)	83%	12	33%	17	art & foreign
White Lightning	86%	7	61%	1,644	classics
The Long Goodbye	97%	35	88%	10,282	classics
King of Hearts	89%	18	88%	3,918	classics
Topkapi	90%	21	67%	2,140	classics
Billion Dollar Brain	50%	6	41%	2,578	classics
Run Silent, Run Deep	100%	8	79%	5,562	classics
Young at Heart	86%	7	78%	3,142	classics
Sherlock Jr.	95%	22	95%	6,923	classics
Buffalo Bill and the Indians, or Sitting Bull's History Lesson	67%	15	49%	2,109	classics
Odd Man Out	100%	30	86%	1,967	classics
Cavalcade	61%	28	26%	1,020	classics
Too Late Blues	86%	7	72%	402	classics
The Savage Innocents	75%	12	74%	554	classics
Safety Last!	97%	31	94%	3,738	classics
A New Leaf	100%	35	83%	998	classics
Love with the Proper Stranger	80%	10	87%	1,437	classics
Caught	100%	8	78%	515	classics
The Big Parade	100%	11	91%	792	classics
Sometimes a Great Notion (Never Give an Inch)	100%	13	77%	850	classics
Judex	90%	10	82%	388	classics
The Freshman (College Days)	93%	15	79%	311	classics
Moonrise	100%	9	74%	265	classics
The Incredible Journey	89%	9	77%	524	classics
Shakespeare Wallah	89%	9	64%	181	classics
The Young Savages	43%	7	47%	152	classics
The Night Visitor	13%	8	50%	111	classics
The Killer Is Loose	60%	5	35%	106	classics
The Strange Affair of Uncle Harry (Guilty of Murder?)	80%	5	67%	84	classics
Great Expectations	68%	80	49%	8,128	classics
Noah	76%	259	41%	122,203	classics
Exodus: Gods and Kings	30%	204	35%	60,019	classics
Ben-Hur	25%	188	53%	18,989	classics
Limelight	97%	32	90%	7,281	classics
Wings	93%	44	78%	3,521	classics
Father Goose	80%	15	86%	9,269	classics
Long Day's Journey Into Night	94%	17	86%	3,064	classics
The Grass Is Greener	88%	8	65%	2,958	classics
The Enforcer	88%	8	70%	1,292	classics
Samson and Delilah	63%	8	58%	2,071	classics
Shoeshine (Sciusci�)	100%	6	92%	1,028	classics
Kes	100%	31	91%	9,149	classics
The Magnificent Ambersons	90%	41	85%	6,450	classics
The Devil and Miss Jones	100%	7	82%	583	classics
Champion	93%	14	74%	733	classics
Lili	100%	7	82%	989	classics
Maytime	100%	5	88%	460	classics
The Brothers Karamazov	30%	10	60%	542	classics
In Old Arizona	56%	9	39%	354	classics
Dangerous	83%	6	62%	693	classics
My Little Chickadee	91%	11	63%	724	classics
Northwest Passage	100%	6	68%	574	classics
Blossoms in the Dust	33%	9	72%	376	classics
Hail the Conquering Hero	95%	20	85%	609	classics
Marketa Lazarov�	100%	11	87%	601	classics
Rose Marie	83%	6	73%	266	classics
Not as a Stranger (Morton Thompson's Not as a Stranger)	13%	8	54%	254	classics
Wild River	100%	12	83%	529	classics
Bride Flight	67%	39	75%	1,310	classics
Baar�a	55%	11	50%	1,218	classics
The Eagle	40%	155	41%	42,602	classics
Scoob!	50%	111	61%	1,149	comedy
The Willoughbys	90%	60	65%	382	comedy
Trolls World Tour	70%	139	60%	833	comedy
Valley Girl	57%	47	91%	282	comedy
Bit	90%	10	38%	34	comedy
Why Don't You Just Die! (Papa, sdokhni)	97%	65	NOT FOUND	NOT FOUND	comedy
Fantasy Island	8%	101	48%	3,567	comedy
Mope	56%	16	NOT FOUND	NOT FOUND	comedy
Olympic Dreams	68%	47	60%	25	comedy
Porno	80%	40	NOT FOUND	NOT FOUND	comedy
